GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ12704.1,PA14_19510,WP_003091924.1,PA14_RS07805,PA14_RS07805,ABC transporter permease,OG0002803
ABJ12703.1,PA14_19520,WP_003091922.1,PA14_RS07810,PA14_RS07810,ABC transporter ATP-binding protein,OG0002802
ABJ12702.1,PA14_19530,WP_003091915.1,PA14_RS07815,ssuE,NADPH-dependent FMN reductase,OG0002801
ABJ12701.1,PA14_19540,WP_003111308.1,PA14_RS07820,PA14_RS07820,sulfonate ABC transporter substrate-binding protein,OG0002800
ABJ12700.1,PA14_19560,WP_003091910.1,PA14_RS07825,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,OG0000154
ABJ12699.1,PA14_19570,WP_003091909.1,PA14_RS07830,ssuC,aliphatic sulfonate ABC transporter permease SsuC,OG0002799
ABJ12698.1,PA14_19580,WP_003117544.1,PA14_RS07835,ssuB,aliphatic sulfonates ABC transporter ATP-binding protein,OG0002798
ABJ12697.1,PA14_19590,WP_003091900.1,PA14_RS07840,PA14_RS07840,molybdopterin-binding protein,OG0002797
ABJ12696.1,PA14_19600,WP_003091899.1,PA14_RS07845,PA14_RS07845,HopJ type III effector protein,OG0002796
ABJ12695.1,PA14_19610,WP_003091898.1,PA14_RS07850,PA14_RS07850,DUF1244 domain-containing protein,OG0002795
ABJ12694.1,PA14_19620,WP_003091897.1,PA14_RS07855,folX,dihydroneopterin triphosphate 2'-epimerase,OG0002794
ABJ12693.1,PA14_19630,WP_003091896.1,PA14_RS07860,folE,GTP cyclohydrolase I FolE,OG0000105
ABJ12692.1,PA14_19640,WP_003138201.1,PA14_RS07865,folM,dihydromonapterin reductase,OG0002793
ABJ12691.1,PA14_19650,WP_003111015.1,PA14_RS07870,PA14_RS07870,hypothetical protein,OG0002792
ABJ12690.1,PA14_19660,WP_003102319.1,PA14_RS07875,PA14_RS07875,flavodoxin,OG0002791
ABJ12689.1,PA14_19670,WP_003138202.1,PA14_RS07880,PA14_RS07880,LysR family transcriptional regulator,OG0002790
ABJ12688.1,PA14_19680,WP_003091885.1,PA14_RS07885,PA14_RS07885,CidA/LrgA family protein,OG0002789
ABJ12687.1,PA14_19690,WP_003102323.1,PA14_RS07890,PA14_RS07890,LrgB family protein,OG0002788
ABJ12686.1,PA14_19700,WP_003091880.1,PA14_RS07895,PA14_RS07895,class II aldolase/adducin family protein,OG0002787
ABJ12685.1,PA14_19710,WP_003138203.1,PA14_RS07900,PA14_RS07900,alpha/beta hydrolase,OG0002786
ABJ12684.1,PA14_19720,WP_003122196.1,PA14_RS07905,PA14_RS07905,hypothetical protein,OG0002785
ABJ12683.1,PA14_19730,WP_003111019.1,PA14_RS07910,PA14_RS07910,SDR family oxidoreductase,OG0002784
ABJ12682.1,PA14_19740,WP_003091874.1,PA14_RS07915,PA14_RS07915,crotonase/enoyl-CoA hydratase family protein,OG0002783
ABJ12681.1,PA14_19750,WP_003091873.1,PA14_RS07920,PA14_RS07920,cupin domain-containing protein,OG0002782
ABJ12680.1,PA14_19770,WP_003138204.1,PA14_RS07925,PA14_RS07925,FAD-binding oxidoreductase,OG0002781
ABJ12679.1,PA14_19800,WP_003119583.1,PA14_RS07930,PA14_RS07930,nuclear transport factor 2 family protein,OG0002780
ABJ12678.1,PA14_19810,WP_003102337.1,PA14_RS07935,PA14_RS07935,DUF1302 domain-containing protein,OG0000193
ABJ12677.1,PA14_19830,WP_003138206.1,PA14_RS07940,PA14_RS07940,DUF1329 domain-containing protein,OG0000009
ABJ12676.1,PA14_19850,WP_003138208.1,PA14_RS07945,PA14_RS07945,LuxR C-terminal-related transcriptional regulator,OG0002779
ABJ12675.1,PA14_19860,WP_003138209.1,PA14_RS07950,PA14_RS07950,SirB1 family protein,OG0002778
ABJ12674.1,PA14_19870,WP_003091859.1,PA14_RS07955,PA14_RS07955,Glu/Leu/Phe/Val dehydrogenase,OG0002777
ABJ12673.1,PA14_19900,WP_003091858.1,PA14_RS07960,pdhA,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,OG0002776
ABJ12672.1,PA14_19910,WP_003138212.1,PA14_RS07965,PA14_RS07965,alpha-ketoacid dehydrogenase subunit beta,OG0002775
ABJ12671.1,PA14_19920,WP_003138213.1,PA14_RS07970,PA14_RS07970,dihydrolipoamide acetyltransferase family protein,OG0002774
ABJ12670.1,PA14_19930,WP_016254272.1,PA14_RS07975,PA14_RS07975,DUF2809 domain-containing protein,OG0002773
ABJ12669.1,PA14_19940,WP_003122204.1,PA14_RS07980,PA14_RS07980,hypothetical protein,OG0002772
ABJ12668.1,PA14_19950,WP_003091854.1,PA14_RS07985,PA14_RS07985,YebG family protein,OG0002771
ABJ12667.1,PA14_19960,WP_003091850.1,PA14_RS07990,PA14_RS07990,DUF2790 domain-containing protein,OG0002770
ABJ12666.1,PA14_19970,WP_003112066.1,PA14_RS07995,PA14_RS07995,hypothetical protein,OG0002769
ABJ12665.1,PA14_19990,WP_003107536.1,PA14_RS08000,PA14_RS08000,RNA polymerase sigma factor,OG0002768
ABJ12664.1,PA14_20000,WP_003138216.1,PA14_RS08005,PA14_RS08005,FecR family protein,OG0002767
ABJ12663.1,PA14_20010,WP_003119598.1,PA14_RS08010,hasR,heme uptake receptor HasR,OG0002766
ABJ12662.1,PA14_20020,WP_003115011.1,PA14_RS08015,hasA,heme acquisition protein HasA,OG0002765
ABJ12661.1,PA14_20030,WP_003138219.1,PA14_RS08020,PA14_RS08020,type I secretion system permease/ATPase,OG0000192
ABJ12660.1,PA14_20040,WP_003138221.1,PA14_RS08025,PA14_RS08025,HlyD family type I secretion periplasmic adaptor subunit,OG0000075
ABJ12659.1,PA14_20050,WP_003138223.1,PA14_RS08030,PA14_RS08030,TolC family outer membrane protein,OG0000076
ABJ12658.1,PA14_20060,WP_003091839.1,PA14_RS08035,PA14_RS08035,DUF3509 domain-containing protein,OG0002764
ABJ12657.1,PA14_20070,WP_003091838.1,PA14_RS08040,PA14_RS08040,phosphate-starvation-inducible protein PsiE,OG0002763
ABJ12656.1,PA14_20080,WP_003091837.1,PA14_RS08045,PA14_RS08045,efflux RND transporter periplasmic adaptor subunit,OG0002762
ABJ12655.1,PA14_20100,WP_003130238.1,PA14_RS08050,PA14_RS08050,ABC transporter permease,OG0002761
ABJ12654.1,PA14_20110,WP_003130239.1,PA14_RS08055,PA14_RS08055,ABC transporter permease,OG0002760
ABJ12653.1,PA14_20120,WP_003098676.1,PA14_RS08060,PA14_RS08060,YceK/YidQ family lipoprotein,OG0002759
ABJ12652.1,PA14_20130,WP_003091833.1,PA14_RS08065,PA14_RS08065,LysR family transcriptional regulator,OG0002758
ABJ12651.1,PA14_20140,WP_003091832.1,PA14_RS08070,fpr,ferredoxin-NADP reductase,OG0002757
ABJ12650.1,PA14_20150,WP_003091829.1,PA14_RS08075,PA14_RS08075,nitrous oxide reductase accessory protein NosL,OG0002756
ABJ12649.1,PA14_20170,WP_003091826.1,PA14_RS08080,PA14_RS08080,ABC transporter permease subunit,OG0002755
ABJ12648.1,PA14_20180,WP_003138226.1,PA14_RS08085,PA14_RS08085,ABC transporter ATP-binding protein,OG0002754
ABJ12647.1,PA14_20190,WP_003138227.1,PA14_RS08090,PA14_RS08090,nitrous oxide reductase family maturation protein NosD,OG0002753
ABJ12646.1,PA14_20200,WP_003138228.1,PA14_RS08095,nosZ,TAT-dependent nitrous-oxide reductase,OG0002752
ABJ12645.1,PA14_20230,WP_003138229.1,PA14_RS08100,PA14_RS08100,regulatory protein NosR,OG0002751
ABJ12644.1,PA14_20240,WP_003130247.1,PA14_RS08105,PA14_RS08105,VOC family protein,OG0002750
ABJ12643.1,PA14_20250,WP_003130248.1,PA14_RS08110,PA14_RS08110,putative quinol monooxygenase,OG0002749
ABJ12642.1,PA14_20260,WP_003138230.1,PA14_RS08115,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,OG0002748
ABJ12641.1,PA14_20270,WP_003138231.1,PA14_RS08120,rhlG,3-oxoacyl-ACP reductase RhlG,OG0002747
ABJ12640.1,PA14_20280,WP_003091804.1,PA14_RS08125,PA14_RS08125,DUF2784 domain-containing protein,OG0002746
ABJ12639.1,PA14_20290,WP_003091802.1,PA14_RS08130,amrZ,transcriptional regulator AmrZ,OG0002745
ABJ12638.1,PA14_20300,WP_003130253.1,PA14_RS08135,phnC,phosphonate ABC transporter ATP-binding protein,OG0002744
ABJ12637.1,PA14_20320,WP_003138232.1,PA14_RS08140,phnD,phosphonate ABC transporter substrate-binding protein,OG0002743
ABJ12636.1,PA14_20330,WP_003091793.1,PA14_RS08145,phnE,phosphonate ABC transporter%2C permease protein PhnE,OG0002742
ABJ12635.1,PA14_20350,WP_003091792.1,PA14_RS08150,phnF,phosphonate metabolism transcriptional regulator PhnF,OG0002741
ABJ12634.1,PA14_20360,WP_003138234.1,PA14_RS08155,phnG,phosphonate C-P lyase system protein PhnG,OG0002740
ABJ12633.1,PA14_20370,WP_003138236.1,PA14_RS08160,phnH,phosphonate C-P lyase system protein PhnH,OG0002739
ABJ12632.1,PA14_20380,WP_003091786.1,PA14_RS08165,PA14_RS08165,carbon-phosphorus lyase complex subunit PhnI,OG0002738
ABJ12631.1,PA14_20390,WP_003091784.1,PA14_RS08170,PA14_RS08170,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ,OG0002737
ABJ12630.1,PA14_20400,WP_003091781.1,PA14_RS08175,phnK,phosphonate C-P lyase system protein PhnK,OG0002736
ABJ12629.1,PA14_20420,WP_003091778.1,PA14_RS08180,phnL,phosphonate C-P lyase system protein PhnL,OG0002735
ABJ12628.1,PA14_20430,WP_003113124.1,PA14_RS08185,PA14_RS08185,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,OG0002734
ABJ12627.1,PA14_20440,WP_003109293.1,PA14_RS08190,phnN,phosphonate metabolism protein/1%2C5-bisphosphokinase (PRPP-forming) PhnN,OG0002733
ABJ12626.1,PA14_20450,WP_003109294.1,PA14_RS08195,phnP,phosphonate metabolism protein PhnP,OG0002732
ABJ12625.1,PA14_20460,WP_003091768.1,PA14_RS08200,PA14_RS08200,hypothetical protein,OG0002731
ABJ12624.1,PA14_20470,WP_003130258.1,PA14_RS08205,PA14_RS08205,hypothetical protein,OG0002730
ABJ12623.1,PA14_20480,WP_003109295.1,PA14_RS08210,PA14_RS08210,hypothetical protein,OG0002729
ABJ12622.1,PA14_20491,WP_003091762.1,,,,OG0002728
ABJ12621.1,PA14_20510,WP_016254270.1,PA14_RS30215,PA14_RS30215,DUF6531 domain-containing protein,OG0000024
ABJ12620.1,PA14_20520,WP_011666588.1,PA14_RS08240,PA14_RS08240,RHS repeat protein,OG0000163
ABJ12619.1,PA14_20530,WP_016254267.1,PA14_RS08245,PA14_RS08245,hypothetical protein,OG0002727
ABJ12618.1,PA14_20550,WP_003109297.1,PA14_RS08250,PA14_RS08250,hypothetical protein,OG0002726
ABJ12617.1,PA14_20560,WP_003091756.1,PA14_RS08255,PA14_RS08255,aliphatic amidase,OG0002725
ABJ12616.1,PA14_20570,WP_003091753.1,PA14_RS08260,PA14_RS08260,AAA family ATPase,OG0002724
ABJ12615.1,PA14_20580,WP_003091751.1,PA14_RS08265,amiC,aliphatic amidase expression-regulating protein AmiC,OG0002723
ABJ12614.1,PA14_20590,WP_003138254.1,PA14_RS08270,amiR,transcriptional antitermination factor AmiR,OG0002722
ABJ12613.1,PA14_20600,WP_003091746.1,PA14_RS08275,PA14_RS08275,DUF3313 domain-containing protein,OG0002721
ABJ12612.1,PA14_20610,WP_003138256.1,PA14_RS08280,PA14_RS08280,fucose-binding lectin II,OG0002720
ABJ12611.1,PA14_20620,WP_003138259.1,PA14_RS08285,PA14_RS08285,HlyD family secretion protein,OG0002719
ABJ12610.1,PA14_20630,WP_003119630.1,PA14_RS08290,PA14_RS08290,DUF2955 domain-containing protein,OG0002718
ABJ12609.1,PA14_20640,WP_003138261.1,PA14_RS08295,PA14_RS08295,DMT family transporter,OG0002717
ABJ12608.1,PA14_20650,WP_003138263.1,PA14_RS08300,dsdA,D-serine ammonia-lyase,OG0002716
ABJ12607.1,PA14_20670,WP_003138264.1,PA14_RS08305,PA14_RS08305,glutamine synthetase family protein,OG0002715
ABJ12606.1,PA14_20680,WP_003091737.1,PA14_RS08310,PA14_RS08310,MFS transporter,OG0000191
ABJ12605.1,PA14_20690,WP_003109303.1,PA14_RS08315,PA14_RS08315,TIGR04282 family arsenosugar biosynthesis glycosyltransferase,OG0002714
ABJ12604.1,PA14_20700,WP_003119635.1,PA14_RS08320,flgZ,flagellar brake protein FlgZ,OG0002713
ABJ12603.1,PA14_20720,WP_003091733.1,PA14_RS08325,flgN,flagellar export chaperone FlgN,OG0002712
ABJ12602.1,PA14_20730,WP_003091732.1,PA14_RS08330,flgM,flagellar biosynthesis anti-sigma factor FlgM,OG0002711
ABJ12601.1,PA14_20740,WP_003091731.1,PA14_RS08335,flgA,flagellar basal body P-ring formation chaperone FlgA,OG0002710
ABJ12600.1,PA14_20750,WP_003091730.1,PA14_RS08340,PA14_RS08340,chemotaxis protein CheV,OG0002709
ABJ12599.1,PA14_20760,WP_003091728.1,PA14_RS08345,cheR,protein-glutamate O-methyltransferase CheR,OG0002708
ABJ12598.1,PA14_20770,WP_003091727.1,PA14_RS08350,hsbA,anti-anti sigma factor HsbA,OG0002707
ABJ12597.1,PA14_20780,WP_003098751.1,PA14_RS08355,hsbR,two-component system response regulator HsbR,OG0002706
ABJ12596.1,PA14_20800,WP_003091725.1,PA14_RS08360,htpB,two-component system sensor histidine kinase HtpB,OG0002705
ABJ12595.1,PA14_20810,WP_003091724.1,PA14_RS08365,recQ,DNA helicase RecQ,OG0002704
ABJ12594.1,PA14_20820,WP_003119637.1,PA14_RS08370,PA14_RS08370,GGDEF domain-containing protein,OG0002703
ABJ12593.1,PA14_20840,WP_003109306.1,PA14_RS08375,PA14_RS08375,DUF2804 domain-containing protein,OG0002702
ABJ12592.1,PA14_20850,WP_003091721.1,PA14_RS08380,PA14_RS08380,MarR family transcriptional regulator,OG0002701
ABJ12591.1,PA14_20860,WP_003138267.1,PA14_RS08385,PA14_RS08385,FimV family protein,OG0002700
ABJ12590.1,PA14_20870,WP_003091718.1,PA14_RS08390,plpD,patatin-like phospholipase PlpD,OG0002699
ABJ12589.1,PA14_20880,WP_003091717.1,PA14_RS08395,PA14_RS08395,SelT/SelW/SelH family protein,OG0002698
ABJ12588.1,PA14_20890,WP_003106207.1,,,,OG0002697
ABJ12587.1,PA14_20900,WP_003109309.1,PA14_RS08405,PA14_RS08405,MFS transporter,OG0002696
ABJ12586.1,PA14_20920,WP_003130295.1,PA14_RS08410,PA14_RS08410,class I SAM-dependent methyltransferase,OG0002695
ABJ12585.1,PA14_20940,WP_003106204.1,PA14_RS08415,PA14_RS08415,acyl carrier protein,OG0002694
ABJ12584.1,PA14_20950,WP_003091712.1,PA14_RS08420,PA14_RS08420,beta-ketoacyl-ACP synthase 3,OG0002693
ABJ12583.1,PA14_20960,WP_003091711.1,PA14_RS08425,PA14_RS08425,nuclear transport factor 2 family protein,OG0002692
ABJ12582.1,PA14_20970,WP_003138269.1,PA14_RS08430,PA14_RS08430,cytochrome P450,OG0002691
ABJ12581.1,PA14_20980,WP_003106196.1,PA14_RS08435,PA14_RS08435,SDR family NAD(P)-dependent oxidoreductase,OG0002690
ABJ12580.1,PA14_21000,WP_003138270.1,PA14_RS08440,PA14_RS08440,condensation domain-containing protein,OG0002689
ABJ12579.1,PA14_21010,WP_003091709.1,PA14_RS08445,PA14_RS08445,NAD(P)/FAD-dependent oxidoreductase,OG0002688
ABJ12578.1,PA14_21020,WP_003138271.1,PA14_RS08450,PA14_RS08450,non-ribosomal peptide synthetase,OG0002687
ABJ12577.1,PA14_21030,WP_003091706.1,PA14_RS08455,PA14_RS08455,ATP-dependent Clp protease proteolytic subunit,OG0002686
ABJ12576.1,PA14_21040,WP_003091705.1,PA14_RS08460,PA14_RS08460,metal-dependent hydrolase,OG0002685
ABJ12575.1,PA14_21050,WP_003110958.1,PA14_RS08465,PA14_RS08465,SDR family oxidoreductase,OG0002684
ABJ12574.1,PA14_21060,WP_003138275.1,PA14_RS08470,PA14_RS08470,M24 family metallopeptidase,OG0002683
ABJ12573.1,PA14_21070,WP_009313699.1,PA14_RS08475,PA14_RS08475,MerR family transcriptional regulator,OG0002682
ABJ12572.1,PA14_21080,WP_003138279.1,PA14_RS08480,PA14_RS08480,LysR substrate-binding domain-containing protein,OG0002681
ABJ12571.1,PA14_21090,WP_003110952.1,PA14_RS08485,PA14_RS08485,DMT family transporter,OG0002680
ABJ12570.1,PA14_21110,WP_003138281.1,PA14_RS08490,PA14_RS08490,phospholipase C%2C phosphocholine-specific,OG0002679
ABJ12569.1,PA14_21120,WP_003091690.1,PA14_RS08495,PA14_RS08495,hypothetical protein,OG0002678
ABJ12568.1,PA14_21130,WP_003138283.1,PA14_RS08500,PA14_RS08500,hypothetical protein,OG0002677
ABJ12567.1,PA14_21140,WP_003138285.1,PA14_RS08505,phnE,phosphonate ABC transporter%2C permease protein PhnE,OG0002676
ABJ12566.1,PA14_21150,WP_003091683.1,PA14_RS08510,PA14_RS08510,ABC transporter permease,OG0002675
ABJ12565.1,PA14_21160,WP_003138286.1,PA14_RS08515,PA14_RS08515,phosphonate ABC transporter ATP-binding protein,OG0002674
ABJ15693.1,PA14_21175,WP_003111582.1,PA14_RS08520,PA14_RS08520,putative selenate ABC transporter substrate-binding protein,OG0005488
ABJ12564.1,PA14_21180,WP_003113156.1,PA14_RS08525,PA14_RS08525,NAD(P)-dependent oxidoreductase,OG0002673
ABJ12563.1,PA14_21190,WP_016254263.1,,,,OG0002672
ABJ12562.1,PA14_21210,WP_003091675.1,PA14_RS08535,PA14_RS08535,phosphoethanolamine--lipid A transferase,OG0000123
ABJ12561.1,PA14_21220,WP_003091672.1,PA14_RS08540,PA14_RS08540,universal stress protein,OG0002671
ABJ12560.1,PA14_21230,WP_003138288.1,,,,OG0002670
ABJ12559.1,PA14_21240,WP_003122428.1,PA14_RS08550,PA14_RS08550,hypothetical protein,OG0002669
ABJ12558.1,PA14_21250,WP_003138289.1,PA14_RS08555,PA14_RS08555,alpha-ketoglutarate-dependent dioxygenase AlkB,OG0002668
ABJ12557.1,PA14_21260,WP_003091657.1,,,,OG0002667
ABJ12556.1,PA14_21280,WP_003138290.1,PA14_RS08565,PA14_RS08565,FUSC family protein,OG0002666
ABJ12555.1,PA14_21290,WP_003091654.1,PA14_RS08575,PA14_RS08575,HlyD family secretion protein,OG0002665
ABJ12554.1,PA14_21300,WP_003130346.1,PA14_RS08580,PA14_RS08580,MFS transporter,OG0002664
ABJ12553.1,PA14_21310,WP_003091647.1,PA14_RS08585,PA14_RS08585,MaoC family dehydratase,OG0002663
ABJ12552.1,PA14_21320,WP_003138291.1,PA14_RS08590,PA14_RS08590,alpha/beta hydrolase,OG0002662
ABJ12551.1,PA14_21340,WP_003091644.1,PA14_RS08595,fadD2,long-chain-fatty-acid--CoA ligase FadD2,OG0000190
ABJ12550.1,PA14_21370,WP_003138294.1,PA14_RS08600,fadD1,long-chain-fatty-acid--CoA ligase FadD1,OG0000190
ABJ12549.1,PA14_21380,WP_016254261.1,PA14_RS08605,PA14_RS08605,addiction module protein,OG0002661
ABJ12548.1,PA14_21400,,,,,
ABJ12547.1,PA14_21410,WP_003112133.1,PA14_RS08615,phoA,alkaline phosphatase,OG0002660
ABJ12546.1,PA14_21440,WP_003105490.1,PA14_RS08620,PA14_RS08620,HIT family protein,OG0002659
ABJ12545.1,PA14_21450,,,,,
ABJ12544.1,PA14_21460,WP_003138322.1,PA14_RS08630,PA14_RS08630,DUF4123 domain-containing protein,OG0002658
ABJ12543.1,PA14_21470,WP_171894134.1,PA14_RS31635,PA14_RS31635,DUF3304 domain-containing protein,OG0000036
ABJ12543.1,PA14_21470, WP_031636319.1,,,,OG0000036
ABJ12542.1,PA14_21480,WP_003138323.1,PA14_RS08635,PA14_RS08635,DUF3304 domain-containing protein,OG0000036
ABJ12541.1,PA14_21490,WP_003138324.1,PA14_RS30250,PA14_RS30250,DUF2235 domain-containing protein,OG0002657
ABJ12540.1,PA14_21510,WP_003091632.1,PA14_RS08650,PA14_RS08650,hypothetical protein,OG0002656
ABJ12539.1,PA14_21520,WP_003130147.1,PA14_RS08655,PA14_RS08655,cysteine hydrolase family protein,OG0002655
ABJ12538.1,PA14_21530,WP_003091630.1,PA14_RS08660,PA14_RS08660,ankyrin repeat domain-containing protein,OG0002654
ABJ12537.1,PA14_21540,WP_003104436.1,PA14_RS08665,PA14_RS08665,beta-ketoacyl-ACP synthase III,OG0002653
ABJ12536.1,PA14_21550,WP_003091628.1,PA14_RS08670,PA14_RS08670,RNA polymerase sigma factor,OG0002652
ABJ12535.1,PA14_21560,WP_011666591.1,PA14_RS08675,PA14_RS08675,zf-HC2 domain-containing protein,OG0002651
ABJ12534.1,PA14_21570,WP_003091625.1,PA14_RS08680,PA14_RS08680,hypothetical protein,OG0002650
ABJ12533.1,PA14_21580,WP_003091624.1,PA14_RS08685,PA14_RS08685,DUF692 domain-containing protein,OG0002649
ABJ12532.1,PA14_21590,WP_003138335.1,PA14_RS08690,PA14_RS08690,DUF2063 domain-containing protein,OG0002648
ABJ12531.1,PA14_21600,WP_003091622.1,PA14_RS08695,PA14_RS08695,DoxX family protein,OG0002647
ABJ12530.1,PA14_21610,WP_003104423.1,PA14_RS08700,oprO,outer membrane porin OprO,OG0000189
ABJ12529.1,PA14_21620,WP_003122437.1,PA14_RS08705,oprP,outer membrane porin OprP,OG0000189
ABJ12528.1,PA14_21630,WP_003091621.1,PA14_RS08710,PA14_RS08710,hypothetical protein,OG0002646
ABJ12527.1,PA14_21640,WP_003091619.1,PA14_RS08715,PA14_RS08715,SDR family oxidoreductase,OG0002645
ABJ12526.1,PA14_21650,WP_003091617.1,PA14_RS08720,PA14_RS08720,hypothetical protein,OG0002644
ABJ12525.1,PA14_21660,WP_003091616.1,PA14_RS08725,PA14_RS08725,YnfA family protein,OG0002643
ABJ12523.1,PA14_21670,WP_003091615.1,PA14_RS08730,PA14_RS08730,hypothetical protein,OG0002641
ABJ12524.1,PA14_21680,WP_003091614.1,PA14_RS08735,PA14_RS08735,hypothetical protein,OG0002642
ABJ12522.1,PA14_21690,WP_011666592.1,PA14_RS08740,PA14_RS08740,DEAD/DEAH box helicase,OG0002640
ABJ12521.1,PA14_21700,WP_003117605.1,PA14_RS08745,PA14_RS08745,PAS domain-containing hybrid sensor histidine kinase/response regulator,OG0002639
ABJ12520.1,PA14_21710,WP_003119682.1,PA14_RS08750,PA14_RS08750,GNAT family protein,OG0002638
ABJ12519.1,PA14_21720,WP_003091607.1,PA14_RS08755,PA14_RS08755,AraC family transcriptional regulator,OG0002637
ABJ12518.1,PA14_21730,WP_003091606.1,PA14_RS08760,PA14_RS08760,TonB-dependent receptor family protein,OG0002636
ABJ12517.1,PA14_21750,WP_003138346.1,PA14_RS08765,PA14_RS08765,MFS transporter,OG0002635
ABJ12516.1,PA14_21760,WP_003091604.1,PA14_RS08770,PA14_RS08770,cold-shock protein,OG0000016
ABJ12515.1,PA14_21770,WP_003091603.1,PA14_RS08775,sugE,quaternary ammonium compound efflux SMR transporter SugE,OG0000118
ABJ12514.1,PA14_21780,WP_003138348.1,PA14_RS08780,PA14_RS08780,bile acid:sodium symporter family protein,OG0002634
ABJ12513.1,PA14_21790,WP_003091601.1,PA14_RS08785,rdgC,recombination-associated protein RdgC,OG0002633
ABJ12512.1,PA14_21820,WP_003091600.1,PA14_RS08800,PA14_RS08800,FKBP-type peptidyl-prolyl cis-trans isomerase,OG0002632
ABJ12511.1,PA14_21830,WP_003091599.1,PA14_RS08805,PA14_RS08805,YkvA family protein,OG0002631
ABJ12510.1,PA14_21840,WP_003091598.1,PA14_RS08810,PA14_RS08810,transporter substrate-binding domain-containing protein,OG0002630
ABJ12509.1,PA14_21850,WP_003138351.1,PA14_RS08815,PA14_RS08815,helix-turn-helix transcriptional regulator,OG0002629
ABJ12508.1,PA14_21860,WP_003109166.1,PA14_RS08825,PA14_RS08825,sel1 repeat family protein,OG0002628
ABJ12507.1,PA14_21870,WP_016254258.1,,,,OG0002627
ABJ12506.1,PA14_21880,WP_003091593.1,PA14_RS08835,PA14_RS08835,carboxy terminal-processing peptidase,OG0002626
ABJ12505.1,PA14_21890,WP_003091592.1,PA14_RS08840,PA14_RS08840,NAD(P)H-quinone oxidoreductase,OG0002625
ABJ12504.1,PA14_21900,WP_016254257.1,PA14_RS08845,PA14_RS08845,HAD family phosphatase,OG0000067
ABJ12503.1,PA14_21910,WP_003138362.1,PA14_RS08850,PA14_RS08850,ABC transporter ATP-binding protein,OG0002624
ABJ12502.1,PA14_21920,WP_003091589.1,PA14_RS08855,PA14_RS08855,ABC transporter permease,OG0002623
ABJ12501.1,PA14_21930,WP_003091588.1,PA14_RS08860,PA14_RS08860,ABC transporter permease subunit,OG0002622
ABJ12500.1,PA14_21940,WP_003138363.1,PA14_RS08865,PA14_RS08865,alkaline phosphatase family protein,OG0002621
ABJ12499.1,PA14_21960,WP_003091586.1,PA14_RS08870,PA14_RS08870,extracellular solute-binding protein,OG0002620
ABJ12498.1,PA14_21970,WP_003091585.1,PA14_RS08875,PA14_RS08875,UTRA domain-containing protein,OG0000066
ABJ12497.1,PA14_21980,WP_003138365.1,PA14_RS08880,PA14_RS08880,GNAT family protein,OG0002619
